,accuracy,precision,recall,f1,roc_auc
Regressão Logística,0.7925,0.3739130434782609,0.7962962962962963,0.5088757396449705,0.8827338899593234
Random Forest,0.9275,0.7906976744186046,0.6296296296296297,0.7010309278350515,0.9403767929779491
